title,console,genre,total_sales,na_sales,eu_sales,jp_sales,other_sales,critics_score,user_score,year,publisher,developer
Grand Theft Auto V,PS4,Adventure,23.5,6.616471525024058,13.48678958475707,8.622738586425532,3.996991650746677,9.7,0.3879945472888746,2013,Sony,Ubisoft
Minecraft,PC,Adventure,33.0,6.249772096892795,15.953959804108308,12.100941706569795,4.787013027812712,9.3,1.8677252823112933,2011,Sony,Activision
The Legend of Zelda: Breath of the Wild,Switch,Adventure,29.0,22.665739054973812,5.084311185970729,11.42639785387337,8.560019192701585,9.7,8.312458050899425,2017,Sony,Sony
Red Dead Redemption 2,PS4,Adventure,46.0,6.313700376252701,12.534994582179277,2.393108579937228,3.4660434219929326,9.7,7.667683563383357,2018,Sony,EA
FIFA 23,PS4,Adventure,15.0,6.871548180602911,11.477745064560597,2.3238170991479614,8.709531879640496,8.2,3.5064269145714686,2022,Sony,Ubisoft
Call of Duty: Modern Warfare,PS4,Action,30.0,19.009016734207297,16.673324498086593,4.095798079399208,0.9725308666692458,8.5,3.768106277742125,2019,Sony,Activision
Super Mario Odyssey,Switch,Adventure,25.0,11.298522077018445,18.131132503577085,5.480013422481454,7.790304528365444,9.7,5.335544335535794,2017,Sony,Ubisoft
God of War,PS4,Adventure,23.0,19.440092868184013,0.34191975239999745,6.185988162986391,8.49072156724189,9.4,0.002410046851345493,2018,Sony,Ubisoft
Spider-Man,PS4,Adventure,20.0,1.7276173233531924,13.512996389269972,10.227488530816844,1.8999947630896539,8.7,2.4124433603802786,2018,Sony,Activision
Animal Crossing: New Horizons,Switch,Adventure,42.0,12.240522722467269,1.1315324024826074,0.9445384392709475,4.360430670484784,9.0,2.0823180860821444,2020,Sony,Nintendo
Game_11,Switch,Strategy,11.13835114679815,0.9369786445637375,11.022287435039381,0.6166232929683891,1.7384477691701907,8.036934518773025,2.5048294674976344,2017,Microsoft,Microsoft
Game_12,3DS,Strategy,49.38463359903268,1.6600647660383276,5.823891307969196,5.939467387864244,7.095380877042755,8.178220735661906,8.059058425334413,2013,Microsoft,EA
Game_13,Switch,Shooter,47.208561050362,22.67029258827583,6.204854330490609,10.48773901285591,5.399942903810402,9.789473558546618,2.7967385654644317,2013,Nintendo,EA
Game_14,Switch,Sports,2.067397887288444,3.5672097408281194,7.123874218701895,2.9821866100515906,6.389701132412378,5.018695310245037,1.9152132205014816,2022,EA,EA
Game_15,Wii U,Strategy,35.308201108532856,13.357274988652906,12.46371973608724,9.65841677071815,2.0452209728664905,4.549568797277371,5.0426346079303155,2011,Nintendo,Ubisoft
Game_16,PS5,Shooter,46.269891039041724,10.336280504757593,6.747594316808507,3.9714392553104623,2.1962840343189534,7.534756054464806,8.65645036372732,2017,Nintendo,Activision
Game_17,PC,RPG,9.110709721853942,8.748848823845181,14.680711106746578,13.302683021321393,0.5108235225480731,1.3247065634192656,2.4134970383749987,2020,Sony,Microsoft
Game_18,Wii U,Sports,28.44046700457621,22.505850307613084,8.150094972920005,13.445780169572586,3.2884685984377247,5.469155137931242,0.7853624279279869,2011,Nintendo,Sony
Game_19,Wii U,Puzzle,45.78286604964329,0.6434025797096885,1.4602286861681766,4.529579343791765,5.641472147203382,5.462476001308509,3.564047358496647,2018,Nintendo,EA
Game_20,Switch,Strategy,1.7939043314313623,16.62836318577217,15.696820865433732,3.526906934052284,8.593555648573554,0.8947312281038722,7.476518245649778,2023,Ubisoft,Activision
Game_21,Xbox Series X,Racing,34.90127133561731,24.088521411917405,5.786590659394848,6.2284291837868455,6.702581729840939,4.179840855069136,5.506905446947946,2013,Microsoft,Microsoft
Game_22,PS5,Action,14.937715467890282,14.048187768199863,8.712060904025325,3.683920619184216,4.410423601657539,8.532847985672019,8.167933695743475,2010,Microsoft,Microsoft
